uri	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	clusters
spotify:track:5KNQaYJGLe2A6nj4TgqRzA	0.751	0.953	1	-5.781	1	0.0522	0.0127	0.779	0.0636	0.745	122.034	217153	-1
spotify:track:2SfEhhdBaZCyWFTDeCmw4M	0.913	0.757	6	-4.225	1	0.13	0.000804	0.31	0.259	0.499	122.024	321383	0
spotify:track:3lGovWQpk9JgfkjwSYlnos	0.744	0.764	11	-7.616	0	0.0612	0.0448	0.0586	0.172	0.483	124.989	185250	12
spotify:track:7dYBCDao1pYAKvqzAexYod	0.73	0.77	11	-4.618	0	0.196	0.0262	0.332	0.105	0.516	125.183	168960	0
spotify:track:15gt5f2sATHF54J6QWIGOL	0.817	0.923	5	-6.695	0	0.0479	0.000677	0.742	0.0492	0.762	123.999	344516	7
spotify:track:4s87l5obD4MjsBVIaOaupj	0.842	0.914	8	-6.868	1	0.132	0.00864	0.213	0.04	0.653	128.002	365678	0
spotify:track:70OpugIUa8wtIuqZUfO0a4	0.767	0.864	11	-6.431	1	0.107	0.00376	0.024	0.247	0.121	121.023	224000	2
spotify:track:5bY2HsKpU4zAhUraT9fpWC	0.778	0.908	1	-7.021	1	0.0695	0.00112	0.281	0.31	0.0691	127.992	348750	-1
spotify:track:6eyEkoFavbGiNrEHP08JPk	0.802	0.841	1	-7.524	0	0.077	0.00129	0.846	0.101	0.323	127.016	340157	-1
spotify:track:0uLqie02F4WiFFHqOFxOM3	0.713	0.851	1	-9.076	0	0.0567	0.000125	0.0481	0.0521	0.533	119.99	376500	12
spotify:track:4W6EtckEBKuDEYzGB2WGq8	0.631	0.711	5	-7.722	0	0.0464	0.482	0.109	0.093	0.246	127.031	264567	-1
spotify:track:1CEP99EVCVRB1Hy1LLRttk	0.884	0.682	1	-7.107	1	0.101	0.343	0.277	0.119	0.119	124.005	202626	-1
